route_id,agency_id,route_short_name,route_long_name,route_type,route_color,competent_authority,route_desc
0336f63966e167300b0fdc3963c49efd,60,13,Põlva - Mooste - Kauksi - Põlva,3,3bb5db,Põlva MV,"Ei ole käigus riigipühadel."
196e76633e2dd1abc610ea1d3d3a55c7,60,13,Kohila - Hageri - Aespa - Kohila jaam,3,3bb5db,Rapla MV,
b0f8f6030bb98ef34c572e4168b1ec85,295,13,Rakke - Piibe - Liigvalla - Rakke,3,3bb5db,Lääne-Viru MV,"Liin ei ole käigus riigipühadel"
c081709c39cf78b7fc3a7e7c0afa124b,78,130,Tallinn - Tartu,3,660000,Maanteeamet,
fbaae71160d04c20e838ea1d4c77f98e,71,130,Võru - Sõmerpalu - Osula - Kanepi,3,3bb5db,Võru MV,"Ei ole käigus riigipühadel"
040b661827cdf1b6b787eacd41dd6a89,100047,130,Jõgeva - Saduküla - Puurmani - Tabivere,3,3bb5db,Jõgeva ÜTK,"Liin ei ole käigus riigipühadel<br>TASUTA"
88755cb6ffb768267fd9fdb4d8bf7d5e,60,130,Tallinn - Vaida - Tuhala - Kose,3,3bb5db,Harjumaa ÜTK,
3d77732dbc4e4eaed0ed29d1f8523b83,71,131,Kanepi - Osula - Sõmerpalu - Võru,3,3bb5db,Võru MV,"Ei ole käigus riigipühadel"
de7471774036b7740a2049526605145e,100047,131,Tabivere - Puurmani - Saduküla - Jõgeva,3,3bb5db,Jõgeva ÜTK,"Liin ei ole käigus riigipühadel<br>TASUTA"
228c9501bf666f72a41213c6c6286b01,60,131,Tallinn - Vaida,3,3bb5db,Harjumaa ÜTK,
1b82b74ac7ea1eed44f23c074b7aff11,71,132,Võru - Mõniste - Saru - Antsla - Osula - Võru,3,3bb5db,Võru MV,"Ei ole käigus riigipühadel"
d46f6f5622a38c52f2982de28a47823e,60,132,Tallinn - Järveküla - Rae küla - Jüri,3,3bb5db,Harjumaa ÜTK,
1170301fadfc3021178f8bab6a0201e1,60,132A,Tallinn - Järveküla - Rae küla - Jüri - Vaida,3,3bb5db,Harjumaa ÜTK,
dd0116e9882d64c669ff6bc1be5882d3,100047,133,Jõgeva - Painküla - Puurmani - Kursi - Painküla -Jõgeva,3,3bb5db,Jõgeva ÜTK,"TASUTA<br>Alates 01.01.2018 käigus kõigil tööpäevadel v.a. riigipühadel"
edfe5121223e939f52d1bd3e2dda5635,50,133,Keila - Ääsmäe - Riisipere - Turba - Ellamaa - Lehetu,3,3bb5db,Harjumaa ÜTK,
3f8fc8d8ca2377cd5981de97c2e0b2e1,71,133A,Võru - Joosu - Põlva,3,3bb5db,Võru MV,"Käigus esmaspäevast laupäevani, v.a riigipühad"
09fe238c17fdf66a2b9059155a5a1a3e,71,133B,Võru - Joosu - Peri - Põlva,3,3bb5db,Võru MV,"Käigus pühapäeviti ja kõikidel riigipühadel"
6e076f70efd85887b57ba5cf21df3481,71,134,Põlva - Puskaru - Tilsi - Ridali - Võru,3,3bb5db,Võru MV,"Ei ole käigus riigipühadel"
6c921c6b3e469463350a65fa41c770ee,100047,134,Jõgeva - Painküla -Härjanurme - Siimusti - Jõgeva,3,3bb5db,Jõgeva ÜTK,"Liin ei ole käigus riigipühadel.<br>TASUTA<br>Käigus kõigil tööpäevadel v.a. suvine koolivaheaeg."
aa1a13e5872ebfbcdadddcf86203a217,60,134,Tallinn - Jüri - Vana mnt - Vaida,3,3bb5db,Harjumaa ÜTK,
4e3e956f56de3b1ac8625c898e34ebc6,71,135,Ruusmäe - Tsiistre - Ruusmäe,3,3bb5db,Võru MV,"Ei ole käigus riigipühadel<br>Liini teenindatakse liini AINULT ETTETELLIMISEL. Tellimine eelneval päeval kuni kella 19-ni telefonil 5260065."
02456f36bc64072ab4244ac7b2936823,100047,135,Jõgeva-Painküla-Puurmani-Põltsamaa,3,3bb5db,Jõgeva ÜTK,"TASUTA<br>Liin on käigus esmaspäevast laupäevani v.a. riigipühadel"
781249578a830457fb56e97d2b30f4d7,60,135,Tallinn - Jüri - Aruküla - Peningi,3,3bb5db,Harjumaa ÜTK,
ac3e2352a15b7d41cb85c942ea25bfb4,60,135A,Tallinn - Jüri - Aruküla,3,3bb5db,Harjumaa ÜTK,
b45a4114ceaa2a3ebbf14a6f8aec34c1,60,135C,Tallinn - Jüri - Aruküla - Peningi - Urvaste,3,3bb5db,Harjumaa ÜTK,
fc484b6ecae1a1e3b54782d03ce37a78,60,136,Viljandi - Tartu,3,660000,Maanteeamet,
7f740c852ba206183273ebce49793f96,71,136,Ruusmäe - Misso - Luhamaa - Vastseliina - Võru,3,3bb5db,Võru MV,"Ei ole käigus riigipühadel"
e07f91c6697802c50a5d4ddac9298e0d,100047,136,Põltsamaa - Puurmani - Painküla - Jõgeva,3,3bb5db,Jõgeva ÜTK,"TASUTA<br>Liin ei ole käigus riigipühadel"
32fb6329a4fd7a876bea59d15edd1299,50,136,Tallinn - Harku - Keila - Ämari - Madise - Paldiski,3,3bb5db,Harjumaa ÜTK,
e443b52add754d3209f4c74f97a94f92,100047,137,Põltsamaa - Puurmani - Painküla - Jõgeva,3,3bb5db,Jõgeva ÜTK,"TASUTA<br>Liin on käigus laupäeval v.a. riigipühadel"
1df17d0a3a0af8a19a1a31ecc8e07bed,295,137,Vääna-Jõesuu - Tabasalu - Tallinn,3,3bb5db,Harjumaa ÜTK,
