route_id,service_id,trip_id,trip_headsign,trip_long_name,direction_code,shape_id,wheelchair_accessible
a1ec1e417abc0a2ee37a5c91b45f40c7,228946,1598776,Rapla bussijaam,Rapla raudteejaam - Rapla bussijaam,A>B2,60956,0
a1ec1e417abc0a2ee37a5c91b45f40c7,228948,1598778,Rapla bussijaam,Rapla raudteejaam - Rapla bussijaam,A>B2,60956,0
a1ec1e417abc0a2ee37a5c91b45f40c7,228949,1598779,Rapla bussijaam,Rapla raudteejaam - Rapla bussijaam,A>B2,60956,0
a1ec1e417abc0a2ee37a5c91b45f40c7,228949,1598781,Rapla bussijaam,Rapla raudteejaam - Rapla bussijaam,A>B2,60956,0
a1ec1e417abc0a2ee37a5c91b45f40c7,228949,1598783,Rapla bussijaam,Rapla raudteejaam - Rapla bussijaam,A>B2,60956,0
a1ec1e417abc0a2ee37a5c91b45f40c7,228949,1598785,Rapla bussijaam,Rapla raudteejaam - Rapla bussijaam,A>B2,60956,0
a1ec1e417abc0a2ee37a5c91b45f40c7,228950,1598786,Rapla bussijaam,Rapla raudteejaam - Rapla bussijaam,A>B2,60956,0
a1ec1e417abc0a2ee37a5c91b45f40c7,228950,1598788,Rapla bussijaam,Rapla raudteejaam - Rapla bussijaam,A>B2,60956,0
a1ec1e417abc0a2ee37a5c91b45f40c7,228950,1598790,Rapla bussijaam,Rapla raudteejaam - Rapla bussijaam,A>B2,60956,0
a1ec1e417abc0a2ee37a5c91b45f40c7,228951,1598791,Rapla bussijaam,Rapla raudteejaam - Rapla bussijaam,A>B2,60956,0
a1ec1e417abc0a2ee37a5c91b45f40c7,228951,1598793,Rapla bussijaam,Rapla raudteejaam - Rapla bussijaam,A>B2,60956,0
a1ec1e417abc0a2ee37a5c91b45f40c7,228952,1598794,Rapla bussijaam,Rapla raudteejaam - Rapla bussijaam,A>B2,60956,0
a1ec1e417abc0a2ee37a5c91b45f40c7,228952,1598796,Rapla bussijaam,Rapla raudteejaam - Rapla bussijaam,A>B2,60956,0
a1ec1e417abc0a2ee37a5c91b45f40c7,228952,1598798,Rapla bussijaam,Rapla raudteejaam - Rapla bussijaam,A>B2,60956,0
a1ec1e417abc0a2ee37a5c91b45f40c7,228952,1598800,Rapla bussijaam,Rapla raudteejaam - Rapla bussijaam,A>B2,60956,0
a1ec1e417abc0a2ee37a5c91b45f40c7,228953,1598801,Rapla bussijaam,Rapla raudteejaam - Rapla bussijaam,A>B2,60956,0
a1ec1e417abc0a2ee37a5c91b45f40c7,228945,1598773,Rapla raudteejaam,Rapla bussijaam - Rapla raudteejaam,B2>A,60955,0
a1ec1e417abc0a2ee37a5c91b45f40c7,228946,1598775,Rapla raudteejaam,Rapla bussijaam - Rapla raudteejaam,B2>A,60955,0
a1ec1e417abc0a2ee37a5c91b45f40c7,228947,1598777,Rapla raudteejaam,Rapla bussijaam - Rapla raudteejaam,B2>A,60955,0
a1ec1e417abc0a2ee37a5c91b45f40c7,228949,1598780,Rapla raudteejaam,Rapla bussijaam - Rapla raudteejaam,B2>A,60955,0
a1ec1e417abc0a2ee37a5c91b45f40c7,228949,1598782,Rapla raudteejaam,Rapla bussijaam - Rapla raudteejaam,B2>A,60955,0
a1ec1e417abc0a2ee37a5c91b45f40c7,228949,1598784,Rapla raudteejaam,Rapla bussijaam - Rapla raudteejaam,B2>A,60955,0
a1ec1e417abc0a2ee37a5c91b45f40c7,228950,1598787,Rapla raudteejaam,Rapla bussijaam - Rapla raudteejaam,B2>A,60955,0
a1ec1e417abc0a2ee37a5c91b45f40c7,228950,1598789,Rapla raudteejaam,Rapla bussijaam - Rapla raudteejaam,B2>A,60955,0
a1ec1e417abc0a2ee37a5c91b45f40c7,228951,1598792,Rapla raudteejaam,Rapla bussijaam - Rapla raudteejaam,B2>A,60955,0
a1ec1e417abc0a2ee37a5c91b45f40c7,228952,1598795,Rapla raudteejaam,Rapla bussijaam - Rapla raudteejaam,B2>A,60955,0
a1ec1e417abc0a2ee37a5c91b45f40c7,228952,1598797,Rapla raudteejaam,Rapla bussijaam - Rapla raudteejaam,B2>A,60955,0
a1ec1e417abc0a2ee37a5c91b45f40c7,228952,1598799,Rapla raudteejaam,Rapla bussijaam - Rapla raudteejaam,B2>A,60955,0
a1ec1e417abc0a2ee37a5c91b45f40c7,228957,1598803,Rapla bussijaam,Rapla raudteejaam - Rapla bussijaam,A>B2,60956,0
a1ec1e417abc0a2ee37a5c91b45f40c7,228958,1598805,Rapla bussijaam,Rapla raudteejaam - Rapla bussijaam,A>B2,60956,0
a1ec1e417abc0a2ee37a5c91b45f40c7,228960,1598807,Rapla bussijaam,Rapla raudteejaam - Rapla bussijaam,A>B2,60956,0
a1ec1e417abc0a2ee37a5c91b45f40c7,228961,1598808,Rapla bussijaam,Rapla raudteejaam - Rapla bussijaam,A>B2,60956,0
a1ec1e417abc0a2ee37a5c91b45f40c7,228961,1598810,Rapla bussijaam,Rapla raudteejaam - Rapla bussijaam,A>B2,60956,0
a1ec1e417abc0a2ee37a5c91b45f40c7,228961,1598812,Rapla bussijaam,Rapla raudteejaam - Rapla bussijaam,A>B2,60956,0
a1ec1e417abc0a2ee37a5c91b45f40c7,228961,1598814,Rapla bussijaam,Rapla raudteejaam - Rapla bussijaam,A>B2,60956,0
a1ec1e417abc0a2ee37a5c91b45f40c7,228962,1598815,Rapla bussijaam,Rapla raudteejaam - Rapla bussijaam,A>B2,60956,0
a1ec1e417abc0a2ee37a5c91b45f40c7,228962,1598817,Rapla bussijaam,Rapla raudteejaam - Rapla bussijaam,A>B2,60956,0
a1ec1e417abc0a2ee37a5c91b45f40c7,228962,1598819,Rapla bussijaam,Rapla raudteejaam - Rapla bussijaam,A>B2,60956,0
a1ec1e417abc0a2ee37a5c91b45f40c7,228963,1598820,Rapla bussijaam,Rapla raudteejaam - Rapla bussijaam,A>B2,60956,0
a1ec1e417abc0a2ee37a5c91b45f40c7,228963,1598822,Rapla bussijaam,Rapla raudteejaam - Rapla bussijaam,A>B2,60956,0
a1ec1e417abc0a2ee37a5c91b45f40c7,228964,1598823,Rapla bussijaam,Rapla raudteejaam - Rapla bussijaam,A>B2,60956,0
a1ec1e417abc0a2ee37a5c91b45f40c7,228964,1598825,Rapla bussijaam,Rapla raudteejaam - Rapla bussijaam,A>B2,60956,0
a1ec1e417abc0a2ee37a5c91b45f40c7,228964,1598827,Rapla bussijaam,Rapla raudteejaam - Rapla bussijaam,A>B2,60956,0
a1ec1e417abc0a2ee37a5c91b45f40c7,228964,1598829,Rapla bussijaam,Rapla raudteejaam - Rapla bussijaam,A>B2,60956,0
a1ec1e417abc0a2ee37a5c91b45f40c7,228966,1598830,Rapla bussijaam,Rapla raudteejaam - Rapla bussijaam,A>B2,60956,0
a1ec1e417abc0a2ee37a5c91b45f40c7,228966,1598832,Rapla bussijaam,Rapla raudteejaam - Rapla bussijaam,A>B2,60956,0
a1ec1e417abc0a2ee37a5c91b45f40c7,228967,1598835,Rapla bussijaam,Rapla raudteejaam - Rapla bussijaam,A>B2,60956,0
a1ec1e417abc0a2ee37a5c91b45f40c7,228968,1598837,Rapla bussijaam,Rapla raudteejaam - Rapla bussijaam,A>B2,60956,0
a1ec1e417abc0a2ee37a5c91b45f40c7,228968,1598839,Rapla bussijaam,Rapla raudteejaam - Rapla bussijaam,A>B2,60956,0
a1ec1e417abc0a2ee37a5c91b45f40c7,228968,1598841,Rapla bussijaam,Rapla raudteejaam - Rapla bussijaam,A>B2,60956,0
a1ec1e417abc0a2ee37a5c91b45f40c7,228968,1598843,Rapla bussijaam,Rapla raudteejaam - Rapla bussijaam,A>B2,60956,0
a1ec1e417abc0a2ee37a5c91b45f40c7,228957,1598802,Rapla raudteejaam,Rapla bussijaam - Rapla raudteejaam,B2>A,60955,0
a1ec1e417abc0a2ee37a5c91b45f40c7,228958,1598804,Rapla raudteejaam,Rapla bussijaam - Rapla raudteejaam,B2>A,60955,0
a1ec1e417abc0a2ee37a5c91b45f40c7,228959,1598806,Rapla raudteejaam,Rapla bussijaam - Rapla raudteejaam,B2>A,60955,0
a1ec1e417abc0a2ee37a5c91b45f40c7,228961,1598809,Rapla raudteejaam,Rapla bussijaam - Rapla raudteejaam,B2>A,60955,0
a1ec1e417abc0a2ee37a5c91b45f40c7,228961,1598811,Rapla raudteejaam,Rapla bussijaam - Rapla raudteejaam,B2>A,60955,0
a1ec1e417abc0a2ee37a5c91b45f40c7,228961,1598813,Rapla raudteejaam,Rapla bussijaam - Rapla raudteejaam,B2>A,60955,0
a1ec1e417abc0a2ee37a5c91b45f40c7,228962,1598816,Rapla raudteejaam,Rapla bussijaam - Rapla raudteejaam,B2>A,60955,0
a1ec1e417abc0a2ee37a5c91b45f40c7,228962,1598818,Rapla raudteejaam,Rapla bussijaam - Rapla raudteejaam,B2>A,60955,0
a1ec1e417abc0a2ee37a5c91b45f40c7,228963,1598821,Rapla raudteejaam,Rapla bussijaam - Rapla raudteejaam,B2>A,60955,0
a1ec1e417abc0a2ee37a5c91b45f40c7,228964,1598824,Rapla raudteejaam,Rapla bussijaam - Rapla raudteejaam,B2>A,60955,0
a1ec1e417abc0a2ee37a5c91b45f40c7,228964,1598826,Rapla raudteejaam,Rapla bussijaam - Rapla raudteejaam,B2>A,60955,0
a1ec1e417abc0a2ee37a5c91b45f40c7,228964,1598828,Rapla raudteejaam,Rapla bussijaam - Rapla raudteejaam,B2>A,60955,0
a1ec1e417abc0a2ee37a5c91b45f40c7,228966,1598831,Rapla raudteejaam,Rapla bussijaam - Rapla raudteejaam,B2>A,60955,0
a1ec1e417abc0a2ee37a5c91b45f40c7,228966,1598833,Rapla raudteejaam,Rapla bussijaam - Rapla raudteejaam,B2>A,60955,0
a1ec1e417abc0a2ee37a5c91b45f40c7,228967,1598834,Rapla raudteejaam,Rapla bussijaam - Rapla raudteejaam,B2>A,60955,0
a1ec1e417abc0a2ee37a5c91b45f40c7,228968,1598836,Rapla raudteejaam,Rapla bussijaam - Rapla raudteejaam,B2>A,60955,0
a1ec1e417abc0a2ee37a5c91b45f40c7,228968,1598838,Rapla raudteejaam,Rapla bussijaam - Rapla raudteejaam,B2>A,60955,0
a1ec1e417abc0a2ee37a5c91b45f40c7,228968,1598840,Rapla raudteejaam,Rapla bussijaam - Rapla raudteejaam,B2>A,60955,0
a1ec1e417abc0a2ee37a5c91b45f40c7,228968,1598842,Rapla raudteejaam,Rapla bussijaam - Rapla raudteejaam,B2>A,60955,0
a1ec1e417abc0a2ee37a5c91b45f40c7,228968,1598844,Rapla raudteejaam,Rapla bussijaam - Rapla raudteejaam,B2>A,60955,0
a53fefb34a6d56b1469ceb001445bf5d,228972,1608761,Spordikeskus,(Õngu-) Nurste - Emmaste - Käina - Kärdla (- Spordikeskus),A>B,59131,0
1103fbb8426727c1d9389f92a7fdf220,228987,1608762,Kärdla bussijaam,Kärdla - Lennujaam - Kärdla,A>A,54127,0
1103fbb8426727c1d9389f92a7fdf220,228991,1608763,Kärdla bussijaam,Kärdla - Lennujaam - Kärdla,A>A,54127,0
7dab7e61ae1146444f89b90221b3e639,228992,1599086,Kärdla bussijaam,Kärdla - Lennujaam - Kärdla,A>A,53902,0
b874d799693b20262ca35f72a3ac8193,228998,1610042,Tartu bussijaam,Võnnu - Luunja kool - Tartu,B>C1>A,62772,0
20a85df8c76a6679edd8a94520bc2250,228999,1615100,Tartu bussijaam,Tartu - Roiu - Kulpna - Tartu,A>C1>A,62773,0
4db72cc9d3e213719e0ac69760c7c85e,229000,1615101,Tartu bussijaam,Tartu - Roiu - Kulpna - Tartu,A>C3>A,62774,0
b58410f513b6db5160429a8a2d3aa303,229001,1615102,Tartu bussijaam,Tartu - Järvselja - Laaksaare sadam - Mehikoorma - Tartu,A>C1>A,62775,0
34006ac426ce895183de594f70c5c8b8,229002,1610046,Tartu bussijaam,Mehikoorma - Ahunapalu - Võnnu - Tartu,B>C2>A,62776,0
cb1684178bc7c30f8b41932162a7707c,229003,1610047,Tartu bussijaam,Võnnu - Luunja kool - Tartu,B>C2>A,62777,0
143678b1d7dae609aeb56c6ed6acf0c6,229004,1615103,Tartu bussijaam,Tartu - Roiu - Ignase - Roiu kauplus - Tartu,A>C2>A,62778,0
40b01c9a07f2cade49e020fb766db744,229005,1615104,Tartu bussijaam,Tartu - Mehikoorma - Laaksaare sadam - Arusoo - Tartu,A>C2>A,62779,0
8d03052b93f9e175c672cf3abc0a2e39,229006,1613239,Tartu bussijaam,Tartu - Järvselja - Mehikoorma - Arusoo - Tartu,A>C2>A,62780,0
034c075a8195f64f5278921909555b75,229007,1610051,Tartu bussijaam,Tartu - Roiu kauplus - Tuigo - Kaagvere - Luunja kool - Tartu,A>C2>A,62781,0
df04a7f0231a661a23d4f19fbf806ae6,229009,1610052,Tartu bussijaam,Tartu - Roiu - Tuigo - Kaagvere - Luunja kool - Tartu,A>C2>A,62782,0
17333be2102d258a01d5c7fb244b3500,229010,1610053,Tartu bussijaam,Tartu - Roiu kauplus - Kaagvere - Luunja kool - Tartu,A>C1>A,62783,0
94aea7b2a1e71845af1e143b3d73d84c,229024,1610054,Tartu bussijaam,Männi - Ülenurme keskus - Tõrvandi - Eerika - Tartu,B>C>A,61423,0
94aea7b2a1e71845af1e143b3d73d84c,229025,1610055,Tartu bussijaam,Männi - Ülenurme keskus - Tõrvandi - Eerika - Tartu,B>C>A,61423,0
94aea7b2a1e71845af1e143b3d73d84c,229025,1610056,Tartu bussijaam,Männi - Ülenurme keskus - Tõrvandi - Eerika - Tartu,B>C>A,61423,0
94aea7b2a1e71845af1e143b3d73d84c,229025,1610057,Tartu bussijaam,Männi - Ülenurme keskus - Tõrvandi - Eerika - Tartu,B>C>A,61423,0
94aea7b2a1e71845af1e143b3d73d84c,229025,1610058,Tartu bussijaam,Männi - Ülenurme keskus - Tõrvandi - Eerika - Tartu,B>C>A,61423,0
94aea7b2a1e71845af1e143b3d73d84c,229025,1610059,Tartu bussijaam,Männi - Ülenurme keskus - Tõrvandi - Eerika - Tartu,B>C>A,61423,0
94aea7b2a1e71845af1e143b3d73d84c,229025,1610060,Tartu bussijaam,Männi - Ülenurme keskus - Tõrvandi - Eerika - Tartu,B>C>A,61423,0
94aea7b2a1e71845af1e143b3d73d84c,229026,1610061,Tartu bussijaam,Männi - Ülenurme keskus - Tõrvandi - Eerika - Tartu,B>C>A,61423,0
e9cc783cc2887d7d32fbb4d805c8d2d5,229096,1599448,Väike-Õismäe parkla,Tiskre - Väike-Õismäe,B>A,58965,1
e9cc783cc2887d7d32fbb4d805c8d2d5,229096,1599450,Väike-Õismäe parkla,Tiskre - Väike-Õismäe,B>A,58965,1
e9cc783cc2887d7d32fbb4d805c8d2d5,229096,1599452,Väike-Õismäe parkla,Tiskre - Väike-Õismäe,B>A,58965,1
e9cc783cc2887d7d32fbb4d805c8d2d5,229096,1599454,Väike-Õismäe parkla,Tiskre - Väike-Õismäe,B>A,58965,1
e9cc783cc2887d7d32fbb4d805c8d2d5,229096,1599456,Väike-Õismäe parkla,Tiskre - Väike-Õismäe,B>A,58965,1
e9cc783cc2887d7d32fbb4d805c8d2d5,229096,1599458,Väike-Õismäe parkla,Tiskre - Väike-Õismäe,B>A,58965,1
e9cc783cc2887d7d32fbb4d805c8d2d5,229096,1599460,Väike-Õismäe parkla,Tiskre - Väike-Õismäe,B>A,58965,1
e9cc783cc2887d7d32fbb4d805c8d2d5,229096,1599462,Väike-Õismäe parkla,Tiskre - Väike-Õismäe,B>A,58965,1
e9cc783cc2887d7d32fbb4d805c8d2d5,229096,1599464,Väike-Õismäe parkla,Tiskre - Väike-Õismäe,B>A,58965,1
e9cc783cc2887d7d32fbb4d805c8d2d5,229096,1599466,Väike-Õismäe parkla,Tiskre - Väike-Õismäe,B>A,58965,1
e9cc783cc2887d7d32fbb4d805c8d2d5,229096,1599468,Väike-Õismäe parkla,Tiskre - Väike-Õismäe,B>A,58965,1
e9cc783cc2887d7d32fbb4d805c8d2d5,229096,1599470,Väike-Õismäe parkla,Tiskre - Väike-Õismäe,B>A,58965,1
e9cc783cc2887d7d32fbb4d805c8d2d5,229096,1599472,Väike-Õismäe parkla,Tiskre - Väike-Õismäe,B>A,58965,1
e9cc783cc2887d7d32fbb4d805c8d2d5,229096,1599474,Väike-Õismäe parkla,Tiskre - Väike-Õismäe,B>A,58965,1
e9cc783cc2887d7d32fbb4d805c8d2d5,229096,1599476,Väike-Õismäe parkla,Tiskre - Väike-Õismäe,B>A,58965,1
e9cc783cc2887d7d32fbb4d805c8d2d5,229096,1599478,Väike-Õismäe parkla,Tiskre - Väike-Õismäe,B>A,58965,1
e9cc783cc2887d7d32fbb4d805c8d2d5,229096,1599480,Väike-Õismäe parkla,Tiskre - Väike-Õismäe,B>A,58965,1
e9cc783cc2887d7d32fbb4d805c8d2d5,229096,1599482,Väike-Õismäe parkla,Tiskre - Väike-Õismäe,B>A,58965,1
e9cc783cc2887d7d32fbb4d805c8d2d5,229096,1599484,Väike-Õismäe parkla,Tiskre - Väike-Õismäe,B>A,58965,1
e9cc783cc2887d7d32fbb4d805c8d2d5,229096,1599486,Väike-Õismäe parkla,Tiskre - Väike-Õismäe,B>A,58965,1
e9cc783cc2887d7d32fbb4d805c8d2d5,229097,1599490,Väike-Õismäe parkla,Tiskre - Väike-Õismäe,B>A,58965,1
e9cc783cc2887d7d32fbb4d805c8d2d5,229097,1599492,Väike-Õismäe parkla,Tiskre - Väike-Õismäe,B>A,58965,1
e9cc783cc2887d7d32fbb4d805c8d2d5,229097,1599494,Väike-Õismäe parkla,Tiskre - Väike-Õismäe,B>A,58965,1
e9cc783cc2887d7d32fbb4d805c8d2d5,229097,1599496,Väike-Õismäe parkla,Tiskre - Väike-Õismäe,B>A,58965,1
e9cc783cc2887d7d32fbb4d805c8d2d5,229097,1599498,Väike-Õismäe parkla,Tiskre - Väike-Õismäe,B>A,58965,1
e9cc783cc2887d7d32fbb4d805c8d2d5,229097,1599501,Väike-Õismäe parkla,Tiskre - Väike-Õismäe,B>A,58965,1
e9cc783cc2887d7d32fbb4d805c8d2d5,229097,1599503,Väike-Õismäe parkla,Tiskre - Väike-Õismäe,B>A,58965,1
e9cc783cc2887d7d32fbb4d805c8d2d5,229097,1599505,Väike-Õismäe parkla,Tiskre - Väike-Õismäe,B>A,58965,1
e9cc783cc2887d7d32fbb4d805c8d2d5,229097,1599507,Väike-Õismäe parkla,Tiskre - Väike-Õismäe,B>A,58965,1
e9cc783cc2887d7d32fbb4d805c8d2d5,229097,1599509,Väike-Õismäe parkla,Tiskre - Väike-Õismäe,B>A,58965,1
e9cc783cc2887d7d32fbb4d805c8d2d5,229097,1599511,Väike-Õismäe parkla,Tiskre - Väike-Õismäe,B>A,58965,1
e9cc783cc2887d7d32fbb4d805c8d2d5,229098,1599515,Väike-Õismäe parkla,Tiskre - Väike-Õismäe,B>A,58965,1
e9cc783cc2887d7d32fbb4d805c8d2d5,229098,1599517,Väike-Õismäe parkla,Tiskre - Väike-Õismäe,B>A,58965,1
e9cc783cc2887d7d32fbb4d805c8d2d5,229098,1599519,Väike-Õismäe parkla,Tiskre - Väike-Õismäe,B>A,58965,1
e9cc783cc2887d7d32fbb4d805c8d2d5,229098,1599521,Väike-Õismäe parkla,Tiskre - Väike-Õismäe,B>A,58965,1
e9cc783cc2887d7d32fbb4d805c8d2d5,229098,1599523,Väike-Õismäe parkla,Tiskre - Väike-Õismäe,B>A,58965,1
e9cc783cc2887d7d32fbb4d805c8d2d5,229098,1599525,Väike-Õismäe parkla,Tiskre - Väike-Õismäe,B>A,58965,1
e9cc783cc2887d7d32fbb4d805c8d2d5,229098,1599527,Väike-Õismäe parkla,Tiskre - Väike-Õismäe,B>A,58965,1
e9cc783cc2887d7d32fbb4d805c8d2d5,229098,1599529,Väike-Õismäe parkla,Tiskre - Väike-Õismäe,B>A,58965,1
e9cc783cc2887d7d32fbb4d805c8d2d5,229098,1599531,Väike-Õismäe parkla,Tiskre - Väike-Õismäe,B>A,58965,1
e9cc783cc2887d7d32fbb4d805c8d2d5,229098,1599533,Väike-Õismäe parkla,Tiskre - Väike-Õismäe,B>A,58965,1
e9cc783cc2887d7d32fbb4d805c8d2d5,229098,1599535,Väike-Õismäe parkla,Tiskre - Väike-Õismäe,B>A,58965,1
e9cc783cc2887d7d32fbb4d805c8d2d5,229098,1599537,Väike-Õismäe parkla,Tiskre - Väike-Õismäe,B>A,58965,1
